id,title,episodes,year,original_channel,im_db,start_year,end_year,new_title
1397,Spider-Woman,16,1979-1980,ABC,5.8,1979,1980,Spider-Woman
1398,Spiral Zone,65,1981-1982,Syndication,7.4,1981,1982,Spiral Zone
1399,SpongeBob SquarePants,296,1999-present,Nickelodeon,8.2,1999,NA,SpongeBob SquarePants
1400,The Spooktacular New Adventures of Casper,52,1996-1998,Fox Kids,5.8,1996,1998,The Spooktacular New Adventures of Casper
1401,Sport Billy,26,1980-1981,NBC,7,1980,1981,Sport Billy
1402,Spy Groove,16,2000,MTV,8.3,2000,NA,Spy Groove
1403,Squiddly Diddly,26,1965-1966,NBC,6.1,1965,1966,Squiddly Diddly
1404,Squirrel Boy,26,2006-2007,Cartoon Network,5.2,2006,2007,Squirrel Boy
1405,Stanley,65,2001-2004,Playhouse Disney,6.5,2001,2004,Stanley
1406,Star Trek: The Animated Series,22,1973-1974,NBC,7.2,1973,1974,Star Trek: The Animated Series
1407,Star vs. the Forces of Evil,77,2015-2019,Disney XD (seasons 1-3)Disney Channel (season 4),7.9,2015,2019,Star vs. the Forces of Evil
1408,Star Wars: Clone Wars,25,2003-2005,Cartoon Network,8.4,2003,2005,Star Wars: Clone Wars
1409,Starcom: The U.S. Space Force,13,1987,Syndication,7.1,1987,NA,Starcom: The U.S. Space Force
1410,Static Shock,52,2000-2004,Kids' WB,7.3,2000,2004,Static Shock
1411,Station Zero,20,1999,MTV,6.6,1999,NA,Station Zero
1412,Strange Planet,5,2023-present,Apple TV+,6.4,2023,NA,Strange Planet
1413,Steven Universe,160,2013-2019,Cartoon Network,8.2,2013,2019,Steven Universe
1414,Steven Universe Future,20,2019-2020,Cartoon Network,7.7,2019,2020,Steven Universe Future
1415,Strawberry Shortcake,22,2003-2008,Syndication,5.4,2003,2008,Strawberry Shortcake
1416,Street Sharks,40,1994-1997,Syndication,6.2,1994,1997,Street Sharks
1417,Stretch Armstrong and the Flex Fighters,23,2017-2018,Netflix,6.2,2017,2018,Stretch Armstrong and the Flex Fighters
1418,Stripperella,13,2003-2004,Spike,5.6,2003,2004,Stripperella
1419,Stuart Little: The Animated Series,13,2003,HBO Family,4.5,2003,NA,Stuart Little: The Animated Series
1420,The Super 6,20,1966-1967,NBC,7.2,1966,1967,The Super 6
1421,Super Friends (1973),16,1973,ABC,7.2,1973,NA,Super Friends
1422,Super Friends (1980),22,1980-1983,ABC,7.2,1980,1983,Super Friends
1423,Super Friends: The Legendary Super Powers Show,8,1984-1985,ABC,7.2,1984,1985,Super Friends: The Legendary Super Powers Show
1424,The Super Hero Squad Show,52,2009-2011,Cartoon Network,6.1,2009,2011,The Super Hero Squad Show
1425,The Super Mario Bros. Super Show!,65,1989,Syndication,6.3,1989,NA,The Super Mario Bros. Super Show!
1426,The Super Powers Team: Galactic Guardians,8,1985,ABC,7.2,1985,NA,The Super Powers Team: Galactic Guardians
1427,Super President,30,1967-1968,NBC,6.6,1967,1968,Super President
1428,Super Robot Monkey Team Hyperforce Go!,52,2004-2006,Jetix[4]Toon DisneyABC Family,6.4,2004,2006,Super Robot Monkey Team Hyperforce Go!
1429,Super Turbo Story Time,8,2023-present,Motor Trend,6.2,2023,NA,Super Turbo Story Time
1430,Superman,26,1988,CBS,7,1988,NA,Superman
1431,The Superman/Aquaman Hour of Adventure,36,1967-1968,CBS,7.4,1967,1968,The Superman/Aquaman Hour of Adventure
1433,Superman: The Animated Series,54,1995-2000,Kids' WB,8.1,1995,2000,Superman: The Animated Series
1434,Swamp Thing,5,1990-1991,Fox Kids,7.4,1990,1991,Swamp Thing
1435,SWAT Kats: The Radical Squadron,25,1993-1995,TBS,8.4,1993,1995,SWAT Kats: The Radical Squadron
1436,Sylvanian Families,13,1987,Syndication,7.9,1987,NA,Sylvanian Families
1437,The Sylvester and Tweety Mysteries,52,1995-2002,Fox Kids,7,1995,2002,The Sylvester and Tweety Mysteries
1438,Sym-Bionic Titan,20,2010-2011,Cartoon Network,8.1,2010,2011,Sym-Bionic Titan
1439,Santa Inc.,8,2021,HBO Max,1.7,2021,NA,Santa Inc.
1440,Santiago of the Seas,52,2020-present,Nickelodeon,6.7,2020,NA,Santiago of the Seas
1441,Saturday Morning All Star Hits!,8,2021,Netflix,7.5,2021,NA,Saturday Morning All Star Hits!
1442,SciGirls,46,2010-2023,PBS Kids Go! (2010-2013)PBS Kids (2013-2023),8,2010,2023,SciGirls
1443,Sealab 2021,52,2001-2005,Adult Swim,7.8,2001,2005,Sealab 2021
1444,The Second Best Hospital in the Galaxy,8,2024,Amazon Prime Video,6.2,2024,NA,The Second Best Hospital in the Galaxy
1445,Secret Adventures,7,1993-1995,Direct-to-video,8,1993,1995,Secret Adventures
1446,Sesame Street,4633,1969-present,PBSPBS KidsHBO,8.1,1969,NA,Sesame Street
1447,Shane's Kindergarten Countdown,5,2005,Playhouse Disney,6.2,2005,NA,Shane's Kindergarten Countdown
1448,Shanna's Show,16,2004,Playhouse Disney,8.1,2004,NA,Shanna's Show
1449,Shape Island,8,2023-present,Apple TV+,7.6,2023,NA,Shape Island
1450,Sheriff Callie's Wild West,90,2013-2017,Disney Junior,6.2,2013,2017,Sheriff Callie's Wild West
1451,Shimmer and Shine,86,2015-2020,Nickelodeon,5.2,2015,2020,Shimmer and Shine
1452,The Shivering Truth,12,2018-2020,Adult Swim,8.1,2018,2020,The Shivering Truth
1453,Shorts in a Bunch,13,2007,Nicktoons Network,6.4,2007,NA,Shorts in a Bunch
1454,Shorties Watchin' Shorties,13,2004,Comedy Central,6.5,2004,NA,Shorties Watchin' Shorties
1455,Shorty McShorts' Shorts,13,2006,Disney Channel,3.8,2006,NA,Shorty McShorts' Shorts
1456,Sid the Science Kid,67,2008-2013,PBS Kids,5.5,2008,2013,Sid the Science Kid
1457,Sing Me a Story with Belle,26,1995-1997,Syndication,7.3,1995,1997,Sing Me a Story with Belle
1458,Skylanders Academy,38,2016-2018,Netflix,6.6,2016,2018,Skylanders Academy
1459,Slangman's World,13,2008-2009,American Forces NetworkGPB,4.2,2008,2009,Slangman's World
1460,Slippin' Jimmy,6,2022,AMC+,2.7,2022,NA,Slippin' Jimmy
1461,Sofia the First,109,2013-2018,Disney Junior,6.9,2013,2018,Sofia the First
1462,Son of Zorn,13,2016-2017,Fox,6.8,2016,2017,Son of Zorn
1463,Soul Quest Overdrive,4,2011,Adult Swim,5.8,2011,NA,Soul Quest Overdrive
1464,South Park,325,1997-present,Comedy Central,8.7,1997,NA,South Park
1465,Space Angel,260,1962-1964,Syndication,6.4,1962,1964,Space Angel
1466,Space Ghost Coast to Coast,109,1994-2008,Cartoon Network (1994-2001)Adult Swim (2001-2004),7.9,1994,2008,Space Ghost Coast to Coast
1467,Space Racers,90,2014-2018,PBS Kids (season 1)Sprout / Universal Kids (season 2),7.5,2014,2018,Space Racers
1468,Spaceballs: The Animated Series,13,2008-2009,G4,4.2,2008,2009,Spaceballs: The Animated Series
1469,Special Agent Oso,60,2009-2012,Playhouse Disney (2009-11)Disney Junior (2011-12),5.2,2009,2012,Special Agent Oso
1470,Spirit Rangers,20,2022-present,Netflix,6.7,2022,NA,Spirit Rangers
1471,Spirit Riding Free,52,2017-2020,Netflix,6.5,2017,2020,Spirit Riding Free
1472,Splash and Bubbles,40,2016-2018,PBS Kids,5.5,2016,2018,Splash and Bubbles
1473,Squidbillies,132,2005-2021,Adult Swim,6.7,2005,2021,Squidbillies
1474,Star Trek: Lower Decks,30,2020-present,Paramount+,7.7,2020,NA,Star Trek: Lower Decks
1475,Star Trek: Prodigy,20,2021-present,Paramount+,7.5,2021,NA,Star Trek: Prodigy
1476,Star Wars: The Bad Batch,32,2021-present,Disney+,7.8,2021,NA,Star Wars: The Bad Batch
1477,Star Wars Forces of Destiny,32,2017-2018,YouTube,5.4,2017,2018,Star Wars Forces of Destiny
1478,Star Wars: The Clone Wars,133,2008-2020,Cartoon NetworkNetflixDisney+,8.4,2008,2020,Star Wars: The Clone Wars
1479,Star Wars: Visions,18,2021-present,Disney+,7,2021,NA,Star Wars: Visions
1480,Star Wars: Young Jedi Adventures,7,2023-present,Disney+,5.8,2023,NA,Star Wars: Young Jedi Adventures
1481,Stone Quackers,12,2014-2015,FXX,6.7,2014,2015,Stone Quackers
1482,StoryBots: Answer Time,22,2022-present,Netflix,7.4,2022,NA,StoryBots: Answer Time
1483,StoryBots Super Songs,10,2016-2017,Netflix,8.8,2016,2017,StoryBots Super Songs
1484,Strawberry Shortcake's Berry Bitty Adventures,65,2010-2015,The Hub / Discovery Family,6,2010,2015,Strawberry Shortcake's Berry Bitty Adventures
1485,Stroker & Hoop,13,2004-2005,Adult Swim,7.3,2004,2005,Stroker & Hoop
1486,Subway Surfers: The Animated Series,11,2018,YouTube,7.1,2018,NA,Subway Surfers: The Animated Series
1487,Sugar and Toys,16,2019-2020,Fuse,7.8,2019,2020,Sugar and Toys
1488,The Summoner,6,2021,Syfy,6.2,2021,NA,The Summoner
1489,Sunday Pants,5,2005,Cartoon Network,5.6,2005,NA,Sunday Pants
1490,Super Giant Robot Brothers,10,2022,Netflix,6.7,2022,NA,Super Giant Robot Brothers
1491,Super Science Friends,7,2015-2020,YouTube,7.8,2015,2020,Super Science Friends
1492,Superbook,82,2011-2021,CBN,6.8,2011,2021,Superbook
1493,Superjail!,36,2008-2014,Adult Swim,7.7,2008,2014,Superjail!
1494,SuperNews!,67,2005-2010,Current TV,7.3,2005,2010,SuperNews!
1495,Saber Rider and the Star Sheriffs,52,1987-1988,Syndication,8.4,1987,1988,Saber Rider and the Star Sheriffs
1496,Sabrina: Secrets of a Teenage Witch,26,2013-2014,Hub Network,5,2013,2014,Sabrina: Secrets of a Teenage Witch
1497,Sabrina's Secret Life,26,2003-2004,Syndication,6.3,2003,2004,Sabrina's Secret Life
1498,"Sagwa, the Chinese Siamese Cat",39,2001-2002,PBS Kids,7.2,2001,2002,"Sagwa, the Chinese Siamese Cat"
1499,Samurai Pizza Cats,52,1990-1991,Syndication,7.2,1990,1991,Samurai Pizza Cats
1500,Samurai Rabbit: The Usagi Chronicles,20,2022,Netflix,6.4,2022,NA,Samurai Rabbit: The Usagi Chronicles
1501,The Savage Dragon,26,1995-1996,USA Network,6.3,1995,1996,The Savage Dragon
1502,Saving Me,20,2022-2023,BYUtv,8.9,2022,2023,Saving Me
1503,Secret Millionaires Club,26,2011-2017,The Hub Network,7.6,2011,2017,Secret Millionaires Club
1504,Sharkdog,22,2021-present,Netflix,6,2021,NA,Sharkdog
1505,Shelldon,26,2009-2011,qubo,6.3,2009,2011,Shelldon
1506,Sherlock Holmes in the 22nd Century,26,1999-2001,Fox KidsSyndication,7.1,1999,2001,Sherlock Holmes in the 22nd Century
1507,Sherwood,26,2012-2013,YouTube Premium,5.9,2012,2013,Sherwood
1508,SheZow,26,2012-2013,Hub Network,5.6,2012,2013,SheZow
1509,Silver Surfer,13,1998,Fox Kids,7.1,1998,NA,Silver Surfer
1510,Sitting Ducks,26,2001-2003,Cartoon Network,7,2001,2003,Sitting Ducks
1511,Sky Dancers,27,1996,France 2,6.4,1996,NA,Sky Dancers
1512,Skysurfer Strike Force,26,1995-1996,Syndication,7.6,1995,1996,Skysurfer Strike Force
1513,Small Potatoes,27,2011,Disney Junior,7,2011,NA,Small Potatoes
1514,Smiling Friends,9,2020-present,Adult Swim,8.5,2020,NA,Smiling Friends
1515,The Smokey Bear Show,17,1969-1970,ABC,8,1969,1970,The Smokey Bear Show
1516,The Snoopy Show,38,2021-2023,Apple TV+,8.1,2021,2023,The Snoopy Show
1517,Snoopy in Space,24,2019-2021,Apple TV+,7.6,2019,2021,Snoopy in Space
1518,Sniz & Fondue,23,1996-1998,Nickelodeon,8.2,1996,1998,Sniz & Fondue
1519,Sonic Boom,52,2014-2017,Cartoon NetworkBoomerang,6.8,2014,2017,Sonic Boom
1520,Sonic Prime,16,2022-present,Netflix,7.3,2022,NA,Sonic Prime
1521,Sonic the Hedgehog,26,1993-1994,ABC,6.8,1993,1994,Sonic the Hedgehog
1522,Sonic Underground,40,1999,Syndication,6.1,1999,NA,Sonic Underground
1523,Space Strikers,13,1995,UPN,7.1,1995,NA,Space Strikers
1524,Speed Racer: The Next Generation,52,2008-2013,Nicktoons,4.1,2008,2013,Speed Racer: The Next Generation
1525,Spider-Man (1967),52,1967-1970,ABC,7.3,1967,1970,Spider-Man
1526,Spider-Man: The New Animated Series,13,2003,MTV,6.9,2003,NA,Spider-Man: The New Animated Series
1527,Spidey and His Amazing Friends,52,2021-present,Disney Junior,5.8,2021,NA,Spidey and His Amazing Friends
1528,Spy Kids: Mission Critical,20,2018,Netflix,4.9,2018,NA,Spy Kids: Mission Critical
1529,Star Wars: Droids,13,1985-1986,ABC,5.9,1985,1986,Star Wars: Droids
1530,Stargate Infinity,26,2002-2003,FoxBox,3.5,2002,2003,Stargate Infinity
1531,Starveillance,6,2007,E!,6.8,2007,NA,Starveillance
1532,The Stinky & Dirty Show,39,2015-2019,Amazon Prime Video,7.4,2015,2019,The Stinky & Dirty Show
1533,Stressed Eric,13,1998-2000,NBC,7.4,1998,2000,Stressed Eric
1534,Stunt Dawgs,40,1992-1993,Syndication,7.8,1992,1993,Stunt Dawgs
1535,Sunny Day,60,2017-2020,Nickelodeon,5.6,2017,2020,Sunny Day
1536,Super Crooks,13,2021,Netflix,7.1,2021,NA,Super Crooks
1537,Super Dave: Daredevil for Hire,13,1992-1993,Fox Kids,6.7,1992,1993,Super Dave: Daredevil for Hire
1538,Super Dinosaur,26,2018-2019,Amazon Prime Video,8.7,2018,2019,Super Dinosaur
1539,Super Duper Sumos,26,2002-2003,Nickelodeon,3.7,2002,2003,Super Duper Sumos
1540,Super Mario World,13,1991,NBC,6.6,1991,NA,Super Mario World
1541,Super Monsters,38,2017-2021,Netflix,6.2,2017,2021,Super Monsters
1542,Super Why!,103,2007-2016,PBS Kids,6.1,2007,2016,Super Why!
1543,Super Wings,264,2014-present,Universal Kids,6,2014,NA,Super Wings
1544,SuperKitties,22,2023-present,Disney Junior,6.2,2023,NA,SuperKitties
1545,Supernatural Academy,16,2022,Peacock,7.1,2022,NA,Supernatural Academy
1546,T.O.T.S.,75,2019-2022,Disney Junior,6.7,2019,2022,T.O.T.S.
1547,Tak and the Power of Juju,26,2007-2009,Nickelodeon,3.4,2007,2009,Tak and the Power of Juju
1548,Take Two with Phineas and Ferb,20,2010-2011,Disney Channel,6.2,2010,2011,Take Two with Phineas and Ferb
1549,The Talented Mr. Bixby,5,2008,Cartoon Network,8.3,2008,NA,The Talented Mr. Bixby
1550,Tales of the Jedi,6,2022-present,Disney+,8.2,2022,NA,Tales of the Jedi
1551,Tales of the Wizard of Oz,110,1961,Syndication,6.8,1961,NA,Tales of the Wizard of Oz
