id,title,episodes,year,original_channel,im_db,start_year,end_year,new_title
1620,Trollhunters: Tales of Arcadia,52,2016-2018,Netflix,8.4,2016,2018,Trollhunters: Tales of Arcadia
1621,Trollkins,13,1981-1982,CBS,7.5,1981,1982,Trollkins
1622,Trolls: The Beat Goes On!,52,2018-2019,Netflix,6,2018,2019,Trolls: The Beat Goes On!
1623,Trollz,27,2005,Syndication,5.1,2005,NA,Trollz
1624,Tron: Uprising,19,2012-2013,Disney XD,8.2,2012,2013,Tron: Uprising
1625,Tuca & Bertie,30,2019-2022,NetflixAdult Swim,7.4,2019,2022,Tuca & Bertie
1626,Tumble Leaf,51,2014-2019,Amazon Prime Video,8.7,2014,2019,Tumble Leaf
1627,Turbo Fast,52,2013-2016,Netflix,6.4,2013,2016,Turbo Fast
1628,Turbo Teen,13,1984,ABC,5.5,1984,NA,Turbo Teen
1629,Tutenstein,39,2003-2008,Discovery Kids,7,2003,2008,Tutenstein
1630,TV Funhouse,8,2000-2001,Comedy Central,7.9,2000,2001,TV Funhouse
1631,Twelve Forever,25,2019,Netflix,6.9,2019,NA,Twelve Forever
1632,The Twisted Tales of Felix the Cat,21,1995-1997,CBS,7.4,1995,1997,The Twisted Tales of Felix the Cat
1633,Two More Eggs,90,2015-2017,Disney XD,5.7,2015,2017,Two More Eggs
1634,T.U.F.F. Puppy,60,2010-2015,Nickelodeon,5.7,2010,2015,T.U.F.F. Puppy
1635,A Tale Dark & Grimm,10,2021,Netflix,7.3,2021,NA,A Tale Dark & Grimm
1636,Tales from the Cryptkeeper,39,1993-1999,ABC,7.5,1993,1999,Tales from the Cryptkeeper
1637,Tarzan and Jane,16,2017-2018,Netflix,5.2,2017,2018,Tarzan and Jane
1638,Team Zenko Go,22,2022,Netflix,6.9,2022,NA,Team Zenko Go
1639,Teen Wolf,21,1986-1987,CBS,7.7,1986,1987,Teen Wolf
1640,Teenage Euthanasia,7,2021-present,Adult Swim,5.7,2021,NA,Teenage Euthanasia
1641,Teenage Fairytale Dropouts,26,2014,Hub Network,7.2,2014,NA,Teenage Fairytale Dropouts
1642,Teenage Mutant Ninja Turtles (2003),155,2003-2009,4Kids TV,7.8,2003,2009,Teenage Mutant Ninja Turtles
1643,Three Delivery,26,2008-2009,Nicktoons Network,7.6,2008,2009,Three Delivery
1644,Thomas & Friends: All Engines Go,92,2021-present,Cartoonito,2.5,2021,NA,Thomas & Friends: All Engines Go
1645,ThunderCats (2011),26,2011-2012,Cartoon Network,7.8,2011,2012,ThunderCats
1646,El Tigre: The Adventures of Manny Rivera,26,2007-2008,Nickelodeon,6.3,2007,2008,El Tigre: The Adventures of Manny Rivera
1647,Time Warp Trio,26,2005-2006,Discovery Kids,7.4,2005,2006,Time Warp Trio
1648,Tiny Planets,65,2001-2002,Noggin,7.2,2001,2002,Tiny Planets
1649,ToddWorld,39,2004-2008,Discovery Kids,7.6,2004,2008,ToddWorld
1650,Toot & Puddle,26,2008-2009,Noggin,8,2008,2009,Toot & Puddle
1651,Total DramaRama,153,2018-2023,Cartoon Network,4,2018,2023,Total DramaRama
1652,Transformers: Armada,52,2002-2003,Cartoon Network,7,2002,2003,Transformers: Armada
1653,Transformers: BotBots,10,2022,Netflix,5.8,2022,NA,Transformers: BotBots
1654,Transformers: Combiner Wars,10,2016,go90,5.4,2016,NA,Transformers: Combiner Wars
1655,Transformers: Cyberverse,71,2018-2021,Cartoon Network,6.9,2018,2021,Transformers: Cyberverse
1656,Transformers: EarthSpark,18,2022-present,Paramount+,4,2022,NA,Transformers: EarthSpark
1657,Transformers: Generation 2,52,1993,go90,7.1,1993,NA,Transformers: Generation 2
1658,Transformers: Rescue Bots,104,2012-2016,The Hub Network / Discovery Family,6.6,2012,2016,Transformers: Rescue Bots
1659,Transformers: Rescue Bots Academy,104,2019-2021,Discovery Family,5.4,2019,2021,Transformers: Rescue Bots Academy
1660,Transformers: War for Cybertron Trilogy,18,2020-2021,Netflix,7.2,2020,2021,Transformers: War for Cybertron Trilogy
1661,Treehouse Detectives,20,2018,Netflix,7.9,2018,NA,Treehouse Detectives
1662,Tripping the Rift,39,2004-2007,Sci Fi,6.8,2004,2007,Tripping the Rift
1663,Trolls: TrollsTopia,52,2020-2022,HuluPeacock,6,2020,2022,Trolls: TrollsTopia
1664,True and the Rainbow Kingdom,26,2017-2019,Netflix,7.1,2017,2019,True and the Rainbow Kingdom
1665,Turbo Dogs,26,2008-2011,Qubo,6.8,2008,2011,Turbo Dogs
1666,"Twinkle, the Dream Being",26,1992-1993,Syndication,8,1992,1993,"Twinkle, the Dream Being"
1667,The Twisted Whiskers Show,26,2010,The Hub,7,2010,NA,The Twisted Whiskers Show
1668,The U.S. of Archie,16,1974,CBS,7.8,1974,NA,The U.S. of Archie
1669,Ugly Americans,31,2010-2012,Comedy Central,8,2010,2012,Ugly Americans
1670,Ultimate Spider-Man,104,2012-2017,Disney XD,7.2,2012,2017,Ultimate Spider-Man
1671,Ultra City Smiths,6,2021,AMC,6.6,2021,NA,Ultra City Smiths
1672,Ultraforce,13,1994-1995,USA Network,6.1,1994,1995,Ultraforce
1674,Uncle Grandpa,153,2013-2017,Cartoon Network,4.4,2013,2017,Uncle Grandpa
1675,Undercover Elephant,13,1977,NBC,6.8,1977,NA,Undercover Elephant
1676,Underdog,124,1964-1967,NBC,7.2,1964,1967,Underdog
1677,Undone,16,2019-2021,Amazon Prime Video,8.2,2019,2021,Undone
1678,Undergrads,13,2001,MTV,7.8,2001,NA,Undergrads
1679,Unicorn: Warriors Eternal,9,2023,Adult Swim,7.3,2023,NA,Unicorn: Warriors Eternal
1680,Unikitty!,104,2017-2020,Cartoon Network,5.5,2017,2020,Unikitty!
1681,Unsupervised,13,2012,FX,7.3,2012,NA,Unsupervised
1682,The URL with Phred Show,20,2001-2002,Noggin,7.7,2001,2002,The URL with Phred Show
1683,Valley of the Dinosaurs,16,1974,CBS,6.6,1974,NA,Valley of the Dinosaurs
1684,Valt the Wonder Deer,208,2016-present,Tencent Video,8.7,2016,NA,Valt the Wonder Deer
1685,Vampirina,147,2017-2021,Disney Junior,6.5,2017,2021,Vampirina
1686,Van-Pires,13,1997,Syndication,6.9,1997,NA,Van-Pires
1687,VeggieTales,50,1993-2015,Direct to video,7.3,1993,2015,VeggieTales
1688,VeggieTales in the House,104,2014-2016,Netflix,4.1,2014,2016,VeggieTales in the House
1689,VeggieTales in the City,52,2017,Netflix,4.6,2017,NA,VeggieTales in the City
1690,The VeggieTales Show,26,2019-2022,Trinity Broadcasting Network,7.9,2019,2022,The VeggieTales Show
1691,Velma,10,2023-present,Max,1.6,2023,NA,Velma
1692,VH1 ILL-ustrated,13,2003-2004,VH1,7.1,2003,2004,VH1 ILL-ustrated
1693,Victor and Valentino,119,2019-2022,Cartoon Network,6.2,2019,2022,Victor and Valentino
1694,Video Mods,6,2004-2005,MTV2,6.8,2004,2005,Video Mods
1695,Video Power,83,1990-1992,Syndication,7.3,1990,1992,Video Power
1696,Visionaries: Knights of the Magical Light,13,1987,Syndication,7.7,1987,NA,Visionaries: Knights of the Magical Light
1697,Viva Pinata,104,2006-2009,4Kids TV,5.7,2006,2009,Viva Pinata
1698,Vixen,12,2015-2016,CW Seed,7,2015,2016,Vixen
1699,Vocabularry,32,2008,BabyFirstTV,7,2008,NA,Vocabularry
1700,Voltron,124,1984-1985,Syndication,7.9,1984,1985,Voltron
1701,Voltron Force,26,2011-2012,Nicktoons,6.6,2011,2012,Voltron Force
1702,Voltron: Legendary Defender,78,2016-2018,Netflix,8.1,2016,2018,Voltron: Legendary Defender
1703,Voltron: The Third Dimension,26,1998-2000,Syndication,6.1,1998,2000,Voltron: The Third Dimension
1704,Vor-Tech: Undercover Conversion Squad,13,1996,ABC,6.8,1996,NA,Vor-Tech: Undercover Conversion Squad
1706,W.I.T.C.H.,52,2004-2006,ABC,7.3,2004,2006,W.I.T.C.H.
1707,The Wacky Adventures of Ronald McDonald,6,1998-2000,Direct-to-video,7.3,1998,2000,The Wacky Adventures of Ronald McDonald
1708,Wacky Races (1968),17,1968-1969,CBS,7.5,1968,1969,Wacky Races
1709,Wacky Races (2017),43,2017-2019,Boomerang,5.1,2017,2019,Wacky Races
1710,The Wacky World of Tex Avery,65,1997,Syndication,4.8,1997,NA,The Wacky World of Tex Avery
1711,Wait Till Your Father Gets Home,48,1972-1974,Syndication,7.6,1972,1974,Wait Till Your Father Gets Home
1712,"Wake, Rattle, and Roll",50,1990-1991,Syndication,7.6,1990,1991,"Wake, Rattle, and Roll"
1713,Wally Gator,52,1962-1963,Syndication,6.3,1962,1963,Wally Gator
1714,Wallykazam!,52,2014-2017,Nickelodeon,7.8,2014,2017,Wallykazam!
1715,Walter Melon,52,1997-1998,Fox Family,6.4,1997,1998,Walter Melon
1716,Wander Over Yonder,43,2013-2016,Disney Channel (2013-14)Disney XD (2014-16),7.3,2013,2016,Wander Over Yonder
1717,Watership Down,4,2018,Netflix,7.2,2018,NA,Watership Down
1718,Waynehead,13,1996-1997,Kids' WB,6.4,1996,1997,Waynehead
1719,We Baby Bears,55,2022-present,Cartoon Network,6,2022,NA,We Baby Bears
1720,We Bare Bears,140,2015-2019,Cartoon Network,7.9,2015,2019,We Bare Bears
1721,We the People,10,2021,Netflix,4.2,2021,NA,We the People
1722,The Weekenders,39,2000-2004,ABCUPNToon Disney,8,2000,2004,The Weekenders
1723,Welcome to the Wayne,30,2017-2019,Nickelodeon,6.9,2017,2019,Welcome to the Wayne
1724,Weird-Ohs,13,1999-2000,Fox Family,6.3,1999,2000,Weird-Ohs
1725,Well Versed,12,2023-present,Nickelodeon,5.4,2023,NA,Well Versed
1726,WellieWishers,26,2016-2017,Amazon Prime Video,7.6,2016,2017,WellieWishers
1727,We're Lalaloopsy,13,2017,Netflix,6.9,2017,NA,We're Lalaloopsy
1728,What a Cartoon!,48,1995-1997,Cartoon Network,8.4,1995,1997,What a Cartoon!
1729,What-a-Mess,47,1996,ABC,7.1,1996,NA,What-a-Mess
1730,What If...?,18,2021-present,Disney+,7.4,2021,NA,What If...?
1731,"What's New, Mr. Magoo?",16,1977,CBS,6.9,1977,NA,"What's New, Mr. Magoo?"
1732,"What's New, Scooby-Doo?",42,2002-2006,Kids' WB,7.3,2002,2006,"What's New, Scooby-Doo?"
1733,What's with Andy?,26,2001-2002,Fox Kids,7.6,2001,2002,What's with Andy?
1734,Whatever Happened to... Robot Jones?,14,2002-2003,Cartoon Network,6.4,2002,2003,Whatever Happened to... Robot Jones?
1735,Wheelie and the Chopper Bunch,13,1974,NBC,6.4,1974,NA,Wheelie and the Chopper Bunch
1736,Where My Dogs At?,8,2006,MTV2,6.6,2006,NA,Where My Dogs At?
1737,Where on Earth Is Carmen Sandiego?,65,1994-1999,Fox Kids,7.2,1994,1999,Where on Earth Is Carmen Sandiego?
1738,Where's Huddles?,10,1970,CBS,7.2,1970,NA,Where's Huddles?
1739,Where's My Water?: Swampy's Underground Adventures,12,2012-2013,Disney Channel,7.9,2012,2013,Where's My Water?: Swampy's Underground Adventures
1740,Where's Wally?,13,1991,CBS,7,1991,NA,Where's Wally?
1741,Where's Waldo?,40,2019-2021,Universal Kids,7.8,2019,2021,Where's Waldo?
1742,Whisker Haven,31,2015-2017,Disney Junior,7.7,2015,2017,Whisker Haven
1743,The Why Why Family,26,1996,Fox Kids,7.4,1996,NA,The Why Why Family
1744,Widget,65,1990-1991,USA Network,6.8,1990,1991,Widget
1745,Wild Animal Baby Explorers,52,2010-2012,PBS Kids,3.7,2010,2012,Wild Animal Baby Explorers
1746,Wild C.A.T.s,13,1994-1995,CBS,6.6,1994,1995,Wild C.A.T.s
1747,Wild Grinders,52,2012-2015,Nicktoons,2.1,2012,2015,Wild Grinders
1748,Wild Kratts,158,2011-present,PBS Kids Go! (2011-13)PBS Kids (2013-present),7.7,2011,NA,Wild Kratts
1749,Wild Life,6,2021,Syfy,6,2021,NA,Wild Life
1750,The Wild Thornberrys,91,1998-2004,Nickelodeon,6.6,1998,2004,The Wild Thornberrys
1751,Wild West C.O.W.-Boys of Moo Mesa,26,1992-1993,ABC,7.2,1992,1993,Wild West C.O.W.-Boys of Moo Mesa
1752,Wildfire,13,1986,CBS,7.4,1986,NA,Wildfire
1753,Will the Real Jerry Lewis Please Sit Down,18,1974-1975,ABC,7.7,1974,1975,Will the Real Jerry Lewis Please Sit Down
1754,Wing Commander Academy,13,1996,USA Network,6.8,1996,NA,Wing Commander Academy
1755,Winky Dink and You,65,"1953-1957, 1969-1973",CBSBroadcast syndication,6.8,1953,1957,Winky Dink and You
1756,Winsome Witch,26,1965-1966,NBC,6.6,1965,1966,Winsome Witch
1757,Winx Club (revival series),78,2011-2016,Nickelodeon,6.1,2011,2016,Winx Club (revival series)
1758,Wish Kid,13,1991,NBC,5.8,1991,NA,Wish Kid
1759,Wishenpoof!,39,2014-2019,Amazon Prime Video,4.9,2014,2019,Wishenpoof!
1760,The Wizard of Oz,13,1990,ABC,6.5,1990,NA,The Wizard of Oz
1761,Wizards: Tales of Arcadia,10,2020,Netflix,8,2020,NA,Wizards: Tales of Arcadia
1762,Wolfboy and the Everything Factory,20,2021-2022,Apple TV+,7.6,2021,2022,Wolfboy and the Everything Factory
1763,Wolf Rock TV,7,1984,ABC,6,1984,NA,Wolf Rock TV
1764,Wolverine and the X-Men,26,2009,Nicktoons,8,2009,NA,Wolverine and the X-Men
1765,Wonder Box,57,2006,BabyFirstTV,5.2,2006,NA,Wonder Box
1766,Wonder Pets!,62,2006-2016,Nickelodeon,6.5,2006,2016,Wonder Pets!
1767,Wonder Showzen,16,2005-2006,MTV2,8.4,2005,2006,Wonder Showzen
1768,Wonder Wheels,16,1977-1978,CBS,5.7,1977,1978,Wonder Wheels
1769,The Wonderful Stories of Professor Kitzel,105,1972,Syndication,8.1,1972,NA,The Wonderful Stories of Professor Kitzel
1770,The Wonderful World of Mickey Mouse,25,2020-2023,Disney+,7.9,2020,2023,The Wonderful World of Mickey Mouse
1771,Woody Woodpecker,30,2018-2022,YouTube,5.9,2018,2022,Woody Woodpecker
1772,The Woody Woodpecker Show,113,1957-1977,ABC,7,1957,1977,The Woody Woodpecker Show
1773,WordGirl,130,2007-2015,"PBS Kids Go! (2007-13)
PBS Kids (2013-15)",7.1,2007,2015,WordGirl
1774,The Wordies,63,2007,BabyFirstTV,7,2007,NA,The Wordies
1775,Word Party,60,2016-2021,Netflix,5.6,2016,2021,Word Party
1776,WordWorld,45,2007-2011,PBS Kids,6.8,2007,2011,WordWorld
1777,Work It Out Wombats!,40,2023-present,PBS Kids,8.4,2023,NA,Work It Out Wombats!
1778,World of Quest,26,2008-2009,Kids' WB,7.2,2008,2009,World of Quest
1779,The World's Greatest SuperFriends,8,1979-1980,ABC,7.2,1979,1980,The World's Greatest SuperFriends
1780,Wow! Wow! Wubbzy!,52,2006-2010,Nickelodeon,6.2,2006,2010,Wow! Wow! Wubbzy!
1781,The Wuzzles,13,1985,CBS,7,1985,NA,The Wuzzles
1782,WWE Slam City,26,2014,WWE Network,7,2014,NA,WWE Slam City
1783,The X's,20,2005-2006,Nickelodeon,5.9,2005,2006,The X's
1784,X-Men: The Animated Series,76,1992-1997,Fox Kids Network,8.4,1992,1997,X-Men: The Animated Series
1785,X-Men: Evolution,52,2000-2003,Kids' WB,7.8,2000,2003,X-Men: Evolution
1786,Xavier Riddle and the Secret Museum,37,2019-2022,PBS Kids,7.8,2019,2022,Xavier Riddle and the Secret Museum
1787,Xavier: Renegade Angel,20,2007-2009,Adult Swim,7.9,2007,2009,Xavier: Renegade Angel
1788,Xiaolin Chronicles,26,2013-2015,Disney XD,6.4,2013,2015,Xiaolin Chronicles
1789,Xiaolin Showdown,52,2003-2006,Kids' WB,7.4,2003,2006,Xiaolin Showdown
1790,The Xtacles,2,2008,Adult Swim,7.5,2008,NA,The Xtacles
1791,Xyber 9: New Dawn,22,1999,Fox Kids,7.1,1999,NA,Xyber 9: New Dawn
1792,Yabba Dabba Dinosaurs,26,2021-2022,HBO Max,4.1,2021,2022,Yabba Dabba Dinosaurs
1793,Yin Yang Yo!,65,2006-2009,Jetix (on Toon Disney) (2006-09)Disney XD (2009),6,2006,2009,Yin Yang Yo!
1794,"Yippee, Yappee and Yahooey",23,1964-1967,Syndication,6.6,1964,1967,"Yippee, Yappee and Yahooey"
1795,Yo Gabba Gabba!,66,2007-2015,Nickelodeon,6.9,2007,2015,Yo Gabba Gabba!
1796,Yo Yogi!,13,1991,NBC,5.1,1991,NA,Yo Yogi!
1797,Yogi Bear & Friends,96,1967-1968,Syndication,6.6,1967,1968,Yogi Bear & Friends
1798,The Yogi Bear Show,33,1961-1962,Syndication,6.6,1961,1962,The Yogi Bear Show
1799,Yogi's Gang,15,1973,ABC,6.5,1973,NA,Yogi's Gang
1800,Yogi's Space Race,13,1978,NBC,6.1,1978,NA,Yogi's Space Race
1801,Yogi's Treasure Hunt,27,1985-1988,Syndication,7,1985,1988,Yogi's Treasure Hunt
1802,YOLO,16,2020-present,Adult Swim,7.3,2020,NA,YOLO
1803,You're Not a Monster,10,2019,IMDB,6.2,2019,NA,You're Not a Monster
1804,Young Justice,98,2010-2022,Cartoon NetworkDC UniverseHBO Max,8.6,2010,2022,Young Justice
1805,Young Love,12,2023-present,Max,7.5,2023,NA,Young Love
1806,Young Robin Hood,26,1991-1992,Syndication,7.1,1991,1992,Young Robin Hood
1807,Zafari,52,2018-2019,Peacock,7.5,2018,2019,Zafari
1808,Zak Storm,39,2016-2018,Discovery Family,6.8,2016,2018,Zak Storm
1809,Zazoo U,13,1990,Fox Children's Network,7.7,1990,NA,Zazoo U
1810,The Zeta Project,26,2001-2002,Kids' WB,7,2001,2002,The Zeta Project
1811,Zevo-3,26,2010-2011,Nicktoons,5.8,2010,2011,Zevo-3
1812,The ZhuZhus,26,2016-2017,Disney Channel,5.5,2016,2017,The ZhuZhus
1813,Zoboomafoo,65,1999-2001,PBS Kids,7.6,1999,2001,Zoboomafoo
1815,Zootopia+,6,2022,Disney+,6.8,2022,NA,Zootopia+
1816,The Zula Patrol,52,2005-2008,PBS Kids,6.9,2005,2008,The Zula Patrol
